source,stress_score,academic_workload_score,study_time_score,sleep_hours_score,stress_trend,workload_trend,study_trend,sleep_trend,mfbi_score,burnout_risk_level,next_week_number
real,33.0,8.13,19.0,70.0,4.0,0.6300000000000008,-2.879999999999999,-5.0,0.7745,Moderate,3.0
real,15.0,5.63,9.63,50.0,0.0,0.0,0.0,0.0,0.4558,Moderate,4.0
real,7.0,2.5,10.0,25.0,-11.0,-1.88,-3.130000000000001,-25.0,0.2688,Low,4.0
real,24.0,4.38,12.75,50.0,0.0,0.0,0.0,0.0,0.512,High,2.0
synthetic_balance,9.63,0.51,7.06,17.73,1.077,0.8851,0.0291,-3.7504,0.2774,Low,3.0
synthetic_balance,4.23,1.14,8.29,7.97,-5.2578,1.0138,-0.5411,-1.4096,0.2456,Low,3.0
synthetic,16.5,4.42,11.67,77.01,3.31,-0.58,0.87,-10.43,0.6492,Moderate,
synthetic_balance,36.14,6.58,3.04,94.7,-0.3402,-0.3642,0.6682,9.3765,0.6834,High,3.0
synthetic_balance,28.89,2.41,0.67,29.2,4.282,0.2317,-0.1226,3.7137,0.3129,Low,3.0
synthetic_balance,6.17,0.19,4.19,37.23,-3.0282,1.2578,0.2508,10.8013,0.242,Low,2.0
synthetic_balance,7.71,5.51,1.56,25.69,1.6599,-0.0938,-1.889,5.2912,0.3012,Low,2.0
real,19.0,3.13,15.88,60.0,6.0,0.6299999999999999,12.13,45.0,0.5058,High,4.0
real,11.0,1.25,6.5,15.0,-1.0,-2.5,-0.3799999999999999,-20.0,0.2025,Low,3.0
real,21.0,4.38,18.38,55.0,0.0,0.0,0.0,0.0,0.562,Low,4.0
synthetic_balance,24.88,7.24,8.29,73.36,0.115,-0.2938,0.5066,4.2242,0.6867,High,3.0
synthetic,24.52,7.19,2.33,6.12,0.97,-1.53,0.63,-16.52,0.3968,Moderate,
synthetic,23.66,8.18,4.17,27.64,4.32,0.94,0.4,-10.94,0.5083,Moderate,
synthetic,6.62,0.42,5.0,27.06,-2.87,-0.27,0.81,-11.13,0.2238,Low,
synthetic,15.25,8.42,6.63,83.5,4.52,1.32,-1.79,-4.72,0.6526,Moderate,
synthetic,36.0,6.65,4.62,44.34,-5.22,-0.91,0.31,-7.84,0.5985,Moderate,
synthetic,16.49,5.19,3.12,2.7,0.59,-1.34,-0.8,-3.26,0.3046,Low,
synthetic_balance,21.89,4.82,1.28,50.06,-0.6107,0.6544,-0.1566,-15.8552,0.3885,Low,2.0
synthetic_balance,24.37,4.13,10.17,97.65,-0.5277,1.2608,-0.653,9.3257,0.6742,High,2.0
real,34.0,7.5,18.38,90.0,24.0,6.87,5.629999999999999,65.0,0.8088,Low,3.0
synthetic_balance,35.05,9.6,3.68,66.71,1.6755,0.0965,-0.4922,-11.7184,0.6965,High,2.0
synthetic_balance,10.26,10.0,9.92,80.14,-6.8636,1.0898,-1.1113,8.6912,0.7114,High,2.0
real,31.0,7.5,19.0,55.0,0.0,0.0,0.0,0.0,0.7088,Moderate,2.0
real,24.0,5.63,4.38,55.0,0.0,0.0,0.0,0.0,0.4721,Moderate,2.0
real,15.0,5.0,6.88,50.0,0.0,0.0,0.0,0.0,0.4126,Low,2.0
synthetic,37.16,7.48,7.85,96.73,-2.78,0.16,-0.42,3.81,0.8247,High,
synthetic,4.23,4.0,7.37,71.65,-2.18,-0.03,-0.34,-7.33,0.4591,Moderate,
synthetic,26.52,3.99,8.64,38.07,3.36,0.3,-1.01,11.65,0.5407,Moderate,
synthetic,25.55,1.54,2.92,19.35,0.52,-1.44,0.42,-0.35,0.3075,Low,
real,34.0,6.25,15.88,100.0,0.0,0.0,0.0,0.0,0.7776,High,4.0
synthetic_balance,36.43,1.86,10.71,89.83,1.4987,0.3117,0.011,-3.1853,0.6954,High,2.0
synthetic_balance,38.16,7.58,4.44,72.21,3.4184,-0.7281,1.0418,2.0019,0.6904,High,2.0
synthetic,0.79,3.77,11.44,11.91,-5.18,0.68,0.17,-7.25,0.3673,Low,
synthetic,20.59,0.4,7.11,26.11,1.01,-0.66,0.45,-0.92,0.352,Low,
synthetic_balance,22.05,10.0,8.75,81.01,5.4746,-0.3368,-0.5627,-13.287,0.7598,High,3.0
synthetic_balance,6.34,5.08,5.43,68.05,-2.7433,-0.2159,-1.1197,-2.9508,0.486,Low,2.0
