source,student_id,term_id,week_number,stress_score,academic_workload_score,study_time_score,sleep_hours_score,mfbi_score,burnout_risk_level
real,0638b08d-09c1-4fad-a3e7-d35a8f0e9474,1,1,22.0,6.25,3.5,6.48,0.4142,Moderate
real,0638b08d-09c1-4fad-a3e7-d35a8f0e9474,1,2,18.0,5.0,1.5,6.25,0.3234,Low
real,0638b08d-09c1-4fad-a3e7-d35a8f0e9474,1,3,17.0,3.75,1.5,80.0,0.4313,Moderate
real,0638b08d-09c1-4fad-a3e7-d35a8f0e9474,1,4,16.0,6.25,3.5,40.0,0.4292,Moderate
real,0d4ef2b3-2a66-4841-9584-9fd805e7c05e,1,2,27.0,8.13,1.5,80.0,0.6033,Moderate
real,0d4ef2b3-2a66-4841-9584-9fd805e7c05e,1,4,24.0,10.0,7.5,20.0,0.6063,Moderate
real,4a2f30ad-0965-43ea-885c-86532c7314fe,1,2,18.0,5.0,3.5,5.58,0.386,Low
real,7ba95685-5b8a-44d2-8459-31acb956a44b,1,2,20.0,5.0,3.5,50.0,0.4479,Moderate
real,7ba95685-5b8a-44d2-8459-31acb956a44b,1,4,22.0,3.75,1.5,55.0,0.4,Moderate
real,839d2c1d-1875-4f44-94ed-880ac62a4374,1,2,27.0,8.13,1.5,5.35,0.4861,Moderate
real,839d2c1d-1875-4f44-94ed-880ac62a4374,1,4,28.0,8.13,1.5,55.0,0.547,Moderate
real,decba7f6-999f-48e3-b29e-71e8aeb3be6d,1,2,27.0,10.0,3.5,75.0,0.6792,Moderate
synthetic,,,,30.96,4.39,10.37,69.74,0.6937,High
synthetic,,,,3.77,9.76,9.25,78.61,0.6567,Moderate
synthetic,,,,5.12,4.5,4.76,92.68,0.4756,Moderate
synthetic,,,,25.75,8.23,5.6,22.72,0.5401,Moderate
synthetic,,,,22.18,0.64,10.02,63.17,0.5212,Moderate
synthetic,,,,30.32,3.55,11.66,89.31,0.7444,High
synthetic,,,,31.14,1.95,5.87,4.38,0.3764,Low
synthetic,,,,6.17,6.83,9.06,96.75,0.6401,Moderate
synthetic,,,,13.03,3.7,5.9,18.95,0.3444,Low
synthetic,,,,5.2,4.76,3.11,66.98,0.3836,Low
synthetic,,,,17.49,8.33,8.55,31.24,0.5737,Moderate
synthetic,,,,33.29,8.05,4.96,28.83,0.5846,Moderate
synthetic,,,,27.3,1.4,2.8,0.74,0.2657,Low
synthetic,,,,31.48,6.65,8.61,78.07,0.7375,High
synthetic,,,,18.36,5.69,2.11,11.45,0.3295,Low
synthetic,,,,26.74,4.71,7.0,76.5,0.622,Moderate
synthetic,,,,25.39,5.54,6.93,30.4,0.5175,Moderate
synthetic,,,,1.23,4.37,2.97,40.85,0.2808,Low
synthetic,,,,34.14,2.34,1.17,28.14,0.3666,Low
synthetic,,,,11.74,6.62,6.91,78.39,0.5787,Moderate
synthetic,,,,26.57,4.06,9.86,16.7,0.5149,Moderate
synthetic,,,,0.91,0.9,8.81,46.19,0.3271,Low
synthetic,,,,6.45,5.01,2.25,69.63,0.3866,Low
synthetic,,,,17.85,3.81,3.97,63.03,0.447,Moderate
synthetic,,,,14.47,0.88,1.86,96.19,0.3915,Moderate
synthetic,,,,36.34,7.0,3.56,96.92,0.7185,High
synthetic,,,,31.15,7.17,5.67,27.22,0.56,Moderate
synthetic,,,,3.86,9.03,5.74,20.24,0.42,Moderate
synthetic,,,,12.24,5.79,2.53,85.66,0.4882,Moderate
synthetic,,,,30.34,7.19,5.47,62.73,0.6403,Moderate
synthetic,,,,23.36,6.5,1.47,41.58,0.4431,Moderate
synthetic,,,,1.66,4.94,4.29,14.45,0.2595,Low
synthetic,,,,4.14,5.88,2.46,92.51,0.4553,Moderate
synthetic,,,,23.24,3.47,7.3,2.28,0.3897,Low
synthetic,,,,38.34,4.82,9.5,8.27,0.5788,Moderate
synthetic,,,,19.47,4.91,11.29,57.17,0.6224,Moderate
synthetic,,,,18.94,2.67,4.31,52.07,0.4051,Moderate
synthetic,,,,17.56,0.22,10.0,89.62,0.5476,Moderate
synthetic,,,,5.61,5.54,1.75,67.22,0.3781,Low
synthetic,,,,11.25,6.59,8.86,76.86,0.6119,Moderate
synthetic,,,,4.31,9.16,3.15,3.74,0.3309,Low
synthetic,,,,22.19,3.71,10.04,80.83,0.6427,Moderate
synthetic,,,,12.69,9.53,3.85,51.51,0.5264,Moderate
synthetic,,,,10.24,9.36,2.39,4.49,0.3591,Low
synthetic,,,,17.4,9.92,10.75,74.86,0.7681,High
synthetic,,,,35.63,8.93,6.47,31.59,0.6598,Moderate
synthetic,,,,30.88,6.62,4.8,9.45,0.482,Moderate
synthetic,,,,29.87,2.62,11.27,24.1,0.5474,Moderate
synthetic,,,,4.91,8.31,2.26,17.93,0.3304,Low
synthetic,,,,23.98,8.75,2.76,31.03,0.5035,Moderate
synthetic,,,,31.1,9.72,6.26,14.39,0.6037,Moderate
synthetic,,,,0.56,2.3,2.02,67.77,0.2723,Low
synthetic,,,,4.87,5.06,8.48,58.11,0.4791,Moderate
synthetic,,,,7.99,8.04,8.73,73.9,0.6175,Moderate
synthetic,,,,5.24,1.24,11.17,39.76,0.3957,Moderate
synthetic,,,,12.04,4.89,8.12,95.56,0.6055,Moderate
synthetic,,,,11.46,9.25,0.79,55.52,0.458,Moderate
synthetic,,,,25.36,1.06,2.11,41.91,0.3338,Low
synthetic,,,,38.65,5.96,11.23,80.44,0.8256,High
synthetic,,,,18.7,7.85,0.71,10.91,0.355,Low
synthetic,,,,33.18,7.97,3.18,53.08,0.6054,Moderate
synthetic,,,,24.24,8.68,7.44,41.26,0.6265,Moderate
synthetic,,,,14.97,4.26,8.0,86.75,0.5835,Moderate
synthetic,,,,18.16,2.48,3.22,74.6,0.4291,Moderate
synthetic,,,,32.66,1.05,1.27,59.44,0.4054,Moderate
synthetic,,,,5.85,8.25,4.07,14.39,0.3634,Low
synthetic,,,,36.84,1.66,3.77,15.36,0.3887,Low
synthetic,,,,4.62,0.21,1.14,17.46,0.1015,Low
synthetic,,,,2.14,5.91,8.33,39.36,0.433,Moderate
synthetic,,,,12.72,5.05,10.56,85.11,0.6385,Moderate
synthetic,,,,1.74,1.81,3.22,24.94,0.1857,Low
synthetic,,,,22.85,4.16,1.07,37.36,0.3625,Low
synthetic,,,,20.95,1.02,10.08,5.2,0.3794,Low
synthetic,,,,36.99,0.99,10.2,90.27,0.6942,High
synthetic,,,,39.18,8.02,9.46,64.25,0.8032,High
synthetic,,,,31.16,1.35,6.66,51.42,0.4958,Moderate
synthetic,,,,34.3,4.63,4.93,63.96,0.5927,Moderate
synthetic,,,,10.66,1.4,6.0,41.69,0.3307,Low
synthetic,,,,9.3,3.68,4.71,32.75,0.3301,Low
synthetic,,,,15.18,6.86,3.91,94.89,0.5851,Moderate
synthetic,,,,36.65,4.81,4.28,53.54,0.5723,Moderate
synthetic,,,,33.94,6.53,9.75,53.27,0.7116,High
